sample_name,library_ID,title,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,filetype,filename,filename2,filename3,filename4,assembly,fasta_file
1359,1359,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1359_1.fastq,1359_2.fastq,,,,
1360,1360,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1360_1.fastq,1360_2.fastq,,,,
1361,1361,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1361_1.fastq,1361_2.fastq,,,,
1362,1362,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1362_1.fastq,1362_2.fastq,,,,
1365,1365,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1365_1.fastq,1365_2.fastq,,,,
1366,1366,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1366_1.fastq,1366_2.fastq,,,,
1367,1367,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1367_1.fastq,1367_2.fastq,,,,
1368,1368,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1368_1.fastq,1368_2.fastq,,,,
1369,1369,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1369_1.fastq,1369_2.fastq,,,,
1370,1370,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1370_1.fastq,1370_2.fastq,,,,
1373,1373,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1373_1.fastq,1373_2.fastq,,,,
1377,1377,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1377_1.fastq,1377_2.fastq,,,,
1378,1378,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1378_1.fastq,1378_2.fastq,,,,
1379,1379,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1379_1.fastq,1379_2.fastq,,,,
1413,1413,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1413_1.fastq,1413_2.fastq,,,,
1414,1414,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1414_1.fastq,1414_2.fastq,,,,
1415,1415,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1415_1.fastq,1415_2.fastq,,,,
1418,1418,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1418_1.fastq,1418_2.fastq,,,,
1419,1419,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1419_1.fastq,1419_2.fastq,,,,
1420,1420,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1420_1.fastq,1420_2.fastq,,,,
1421,1421,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1421_1.fastq,1421_2.fastq,,,,
1422,1422,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1422_1.fastq,1422_2.fastq,,,,
1423,1423,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1423_1.fastq,1423_2.fastq,,,,
1424,1424,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1424_1.fastq,1424_2.fastq,,,,
1425,1425,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1425_1.fastq,1425_2.fastq,,,,
1426,1426,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1426_1.fastq,1426_2.fastq,,,,
1427,1427,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from mouse colonic feces collected during necropsy,fastq,1427_1.fastq,1427_2.fastq,,,,
1443,1443,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1443_1.fastq,1443_2.fastq,,,,
1444,1444,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1444_1.fastq,1444_2.fastq,,,,
1445,1445,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1445_1.fastq,1445_2.fastq,,,,
1446,1446,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1446_1.fastq,1446_2.fastq,,,,
1447,1447,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1447_1.fastq,1447_2.fastq,,,,
1448,1448,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1448_1.fastq,1448_2.fastq,,,,
1450,1450,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1450_1.fastq,1450_2.fastq,,,,
1451,1451,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1451_1.fastq,1451_2.fastq,,,,
1453,1453,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1453_1.fastq,1453_2.fastq,,,,
1454,1454,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1454_1.fastq,1454_2.fastq,,,,
1455,1455,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1455_1.fastq,1455_2.fastq,,,,
1457,1457,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1457_1.fastq,1457_2.fastq,,,,
1458,1458,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1458_1.fastq,1458_2.fastq,,,,
1459,1459,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1459_1.fastq,1459_2.fastq,,,,
1460,1460,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1460_1.fastq,1460_2.fastq,,,,
1461,1461,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1461_1.fastq,1461_2.fastq,,,,
1462,1462,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1462_1.fastq,1462_2.fastq,,,,
1463,1463,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1463_1.fastq,1463_2.fastq,,,,
1464,1464,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1464_1.fastq,1464_2.fastq,,,,
1466,1466,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1466_1.fastq,1466_2.fastq,,,,
1467,1467,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1467_1.fastq,1467_2.fastq,,,,
1468,1468,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1468_1.fastq,1468_2.fastq,,,,
1470,1470,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1470_1.fastq,1470_2.fastq,,,,
1635,1635,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1635_1.fastq,1635_2.fastq,,,,
